,price_USD,covered_surface_m2,bedrooms,price/m2,bathrooms,latitude,longitude,type_casa,type_departamento,type_ph
216,145000.0,60.0,2.0,2136.5548604191617,1.0,-34.548164,-58.55501,0,1,0
217,480000.0,400.0,4.0,2136.5548604191617,4.0,-34.546204,-58.550915,1,0,0
218,105000.0,49.0,2.0,2136.5548604191617,1.0,-34.54717,-58.55723,0,1,0
219,115000.0,60.0,1.0,2136.5548604191617,1.0,-34.54506,-58.552444,0,1,0
220,120000.0,53.0,2.0,2136.5548604191617,1.0,-34.54637,-58.55036,0,0,1
221,65000.0,43.0,1.0,2136.5548604191617,1.0,-34.548943,-58.55651,0,1,0
222,150000.0,58.0,2.0,2136.5548604191617,2.0,-34.546413,-58.556416,0,1,0
223,235000.0,180.0,2.0,2136.5548604191617,2.0,-34.5447,-58.553616,1,0,0
224,88000.0,35.0,1.0,2136.5548604191617,1.0,-34.545506,-58.55154,0,0,1
225,255000.0,112.0,3.0,2136.5548604191617,2.0,-34.544994,-58.55248,0,1,0
226,87000.0,48.0,1.0,2136.5548604191617,1.0,-34.54503,-58.553432,0,1,0
227,130000.0,62.0,2.0,2136.5548604191617,1.0,-34.547844,-58.552704,0,1,0
228,53000.0,31.0,1.0,2136.5548604191617,1.0,-34.549168,-58.55479,0,1,0
229,225000.0,155.0,3.0,2136.5548604191617,2.0,-34.54311,-58.556248,1,0,0
230,198000.0,237.0,4.0,2136.5548604191617,3.0,-34.543053,-58.55632,1,0,0
231,142000.0,56.0,2.0,2136.5548604191617,2.0,-34.547867,-58.556904,0,1,0
232,108000.0,52.0,2.0,2136.5548604191617,1.0,-34.547787,-58.557888,0,1,0
233,129000.0,88.0,2.0,2136.5548604191617,1.0,-34.54351,-58.554222,1,0,0
234,235000.0,105.0,3.0,2136.5548604191617,2.0,-34.54771,-58.55481,0,1,0
235,290000.0,255.0,4.0,2136.5548604191617,4.0,-34.54967,-58.55649,1,0,0
236,120000.0,53.0,2.0,2136.5548604191617,1.0,-34.54637,-58.55036,0,1,0
237,71000.0,32.0,0.0,2136.5548604191617,1.0,-34.5462,-58.550255,0,1,0
238,99000.0,70.0,2.0,2136.5548604191617,1.0,-34.546288,-58.55027,0,1,0
239,100000.0,41.0,1.0,2136.5548604191617,1.0,-34.547512,-58.55323,0,1,0
