,price_USD,type,covered_surface_m2,bedrooms,bathrooms,latitude,longitude,seller,antiquity
1931,150000.0,departamento,71.0,,,-34.549454,-58.548668,EDUARDO RUIZ PROPIEDADES,
1932,62000.0,departamento,40.0,,,-34.564693,-58.548782,EDUARDO RUIZ PROPIEDADES,
1933,200000.0,casa,120.0,,,-34.569866,-58.542477,EDUARDO RUIZ PROPIEDADES,
1934,62000.0,departamento,40.0,,,-34.564693,-58.548782,EDUARDO RUIZ PROPIEDADES,
1935,87000.0,departamento,41.0,1.0,1.0,-34.548546,-58.55709,ALAN FANATICO GESTION INMOBILIARIA,0.0
1936,92000.0,departamento,57.0,1.0,1.0,-34.548546,-58.55709,ALAN FANATICO GESTION INMOBILIARIA,0.0
1937,79000.0,departamento,70.0,2.0,2.0,-34.531853,-58.574127,ALAN FANATICO GESTION INMOBILIARIA,0.0
1938,62000.0,ph,86.0,2.0,,,,ALAN FANATICO GESTION INMOBILIARIA,
1939,119000.0,departamento,69.0,2.0,1.0,-34.54413,-58.493713,Montenegro Propiedades,0.0
1940,68000.0,ph,60.0,3.0,,-34.561455,-58.56599,ALAN FANATICO GESTION INMOBILIARIA,
1941,170000.0,ph,230.0,3.0,2.0,-34.555332,-58.54507,ALAN FANATICO GESTION INMOBILIARIA,
1942,120000.0,departamento,75.0,2.0,1.0,-34.56703,-58.5433,Montenegro Propiedades,10.0
1943,79000.0,ph,50.0,2.0,1.0,-34.557793,-58.55639,ALAN FANATICO GESTION INMOBILIARIA,
1944,130000.0,casa,100.0,3.0,2.0,-34.554348,-58.544758,Montenegro Propiedades,40.0
1945,135000.0,departamento,65.0,2.0,1.0,-34.55396,-58.55475,Alonso Inmobiliaria,40.0
1946,250000.0,casa,170.0,3.0,2.0,-34.54123,-58.543804,BARBARO PROPIEDADES,0.0
1947,350000.0,casa,290.0,5.0,2.0,-34.54854,-58.56137,Alonso Inmobiliaria,90.0
1948,480000.0,casa,220.0,3.0,3.0,-34.55796,-58.55291,Alonso Inmobiliaria,40.0
1949,82000.0,departamento,42.0,1.0,1.0,-34.55041,-58.54933,Alonso Inmobiliaria,25.0
1950,90000.0,casa,77.0,2.0,1.0,-34.55059,-58.56097,Alonso Inmobiliaria,30.0
1951,129000.0,departamento,65.0,2.0,1.0,-34.57019,-58.53908,BARBARO PROPIEDADES,0.0
1952,90000.0,departamento,38.0,,1.0,-34.57151,-58.53731,Alonso Inmobiliaria,
1953,138000.0,departamento,60.0,1.0,1.0,-34.57151,-58.53731,Alonso Inmobiliaria,
1954,80000.0,casa,150.0,2.0,1.0,-34.545544,-58.535324,ALAN FANATICO GESTION INMOBILIARIA,
1955,62000.0,ph,68.0,1.0,1.0,,,ALAN FANATICO GESTION INMOBILIARIA,
1956,140000.0,casa,150.0,3.0,2.0,-34.55316,-58.542953,ALAN FANATICO GESTION INMOBILIARIA,
1957,92000.0,departamento,48.0,1.0,1.0,-34.548546,-58.55709,ALAN FANATICO GESTION INMOBILIARIA,0.0
1958,58000.0,ph,83.0,2.0,1.0,,,ALAN FANATICO GESTION INMOBILIARIA,
1959,300000.0,departamento,105.0,3.0,1.0,-34.54855,-58.55388,Alonso Inmobiliaria,
1960,210000.0,casa,120.0,,,-34.570026,-58.542988,EDUARDO RUIZ PROPIEDADES,
1961,95000.0,ph,75.0,2.0,1.0,-34.5348,-58.55167,Alonso Inmobiliaria,40.0
1962,250000.0,casa,230.0,3.0,3.0,-34.54998,-58.55927,Alonso Inmobiliaria,
1963,38000.0,departamento,32.0,0.0,1.0,-34.577797,-58.528244,ALAN FANATICO GESTION INMOBILIARIA,
1964,125000.0,departamento,75.0,,,-34.57388,-58.542763,EDUARDO RUIZ PROPIEDADES,
1965,120000.0,ph,101.0,4.0,2.0,-34.59092,-58.52328,Esmoris Y Asociados,30.0
1966,78000.0,departamento,42.0,1.0,1.0,-34.5398,-58.546738,ALAN FANATICO GESTION INMOBILIARIA,5.0
1967,100000.0,departamento,40.0,,,-34.549454,-58.548668,EDUARDO RUIZ PROPIEDADES,
1968,130000.0,departamento,80.0,,,-34.57704,-58.53846,EDUARDO RUIZ PROPIEDADES,
1969,130000.0,departamento,80.0,,,-34.576405,-58.539604,EDUARDO RUIZ PROPIEDADES,
1970,160000.0,departamento,230.0,3.0,2.0,-34.577225,-58.532284,EDUARDO RUIZ PROPIEDADES,
1971,72000.0,ph,52.0,2.0,1.0,-34.554565,-58.542316,ALAN FANATICO GESTION INMOBILIARIA,
1972,88000.0,departamento,40.0,1.0,1.0,-34.54372,-58.5493,Alonso Inmobiliaria,
1973,60000.0,departamento,29.0,1.0,1.0,-34.54821,-58.54701,BARBARO PROPIEDADES,30.0
1974,170000.0,departamento,150.0,4.0,2.0,-34.576164,-58.53518,BARBARO PROPIEDADES,30.0
1975,120000.0,ph,90.0,3.0,2.0,-34.59092,-58.523285,BARBARO PROPIEDADES,30.0
1976,160000.0,ph,150.0,4.0,2.0,,,BARBARO PROPIEDADES,30.0
1977,108000.0,departamento,87.0,3.0,1.0,-34.55464,-58.53912,Inmobiliaria Perez,20.0
1978,79000.0,departamento,52.0,1.0,1.0,-34.573162,-58.537266,Montenegro Propiedades,0.0
1979,109000.0,departamento,68.0,2.0,2.0,-34.573162,-58.537266,Montenegro Propiedades,0.0
1980,192000.0,departamento,124.0,3.0,3.0,-34.573162,-58.537266,Montenegro Propiedades,0.0
1981,139000.0,departamento,75.0,3.0,2.0,-34.5565,-58.536106,Montenegro Propiedades,7.0
