,price_USD,type,covered_surface_m2,bedrooms,bathrooms,antiquity,latitude,longitude,seller
3791,100000.0,casa,,2.0,1.0,,-34.55293,-58.57788,Di Rosa Propiedades
3792,90000.0,ph,140.0,2.0,1.0,40.0,-34.57742,-58.5498,Di Rosa Propiedades
3793,81000.0,casa,70.0,2.0,1.0,,-34.56208,-58.56464,Di Rosa Propiedades
3794,105000.0,casa,200.0,3.0,1.0,30.0,-34.55526,-58.56991,Di Rosa Propiedades
3795,95000.0,departamento,110.0,2.0,1.0,,-34.5643,-58.56075,Di Rosa Propiedades
3796,90000.0,casa,150.0,2.0,1.0,50.0,-34.56175,-58.57096,Di Rosa Propiedades
3797,89000.0,ph,94.0,3.0,1.0,,-34.56046,-58.57239,Di Rosa Propiedades
3798,110000.0,casa,120.0,2.0,1.0,,-34.55286,-58.58031,Di Rosa Propiedades
3799,110000.0,casa,200.0,5.0,3.0,50.0,-34.56773,-58.57151,Di Rosa Propiedades
3800,125000.0,casa,100.0,3.0,1.0,,-34.56357,-58.56462,Di Rosa Propiedades
3801,129000.0,casa,90.0,5.0,2.0,,-34.56343,-58.56356,Di Rosa Propiedades
3802,135000.0,casa,70.0,2.0,1.0,35.0,-34.55197,-58.57092,Di Rosa Propiedades
3803,148000.0,casa,200.0,2.0,1.0,,-34.55624,-58.56589,Di Rosa Propiedades
3804,57000.0,departamento,56.0,2.0,1.0,,-34.5625,-58.56435,Di Rosa Propiedades
3805,85000.0,casa,140.0,2.0,1.0,,-34.55617,-58.57086,Di Rosa Propiedades
3806,79000.0,ph,46.0,1.0,1.0,,-34.56138,-58.56113,Di Rosa Propiedades
3807,105000.0,ph,53.0,2.0,1.0,,-34.55656,-58.56288,Di Rosa Propiedades
3808,75000.0,ph,45.0,2.0,1.0,,-34.52588,-58.57783,Di Rosa Propiedades
3809,82000.0,ph,65.0,2.0,1.0,,-34.54913,-58.57772,Di Rosa Propiedades
3810,90000.0,ph,103.0,2.0,1.0,,-34.56663,-58.57495,Di Rosa Propiedades
3811,90000.0,casa,90.0,5.0,2.0,30.0,-34.58068,-58.551,Di Rosa Propiedades
3812,70000.0,casa,180.0,3.0,2.0,,-34.54744,-58.53895,Di Rosa Propiedades
3813,220000.0,ph,262.0,5.0,4.0,,-34.57691,-58.5683,Di Rosa Propiedades
3814,285000.0,casa,178.0,5.0,2.0,20.0,-34.582695,-58.538242,BERNABE PROPIEDADES
3815,380000.0,casa,245.0,4.0,4.0,20.0,-34.574257,-58.54387,BERNABE PROPIEDADES
3816,280000.0,casa,,3.0,2.0,22.0,-34.5719,-58.533,BERNABE PROPIEDADES
3817,95000.0,departamento,60.0,2.0,1.0,,,,BERNABE PROPIEDADES
3818,85000.0,departamento,48.0,1.0,1.0,,,,BERNABE PROPIEDADES
3819,90000.0,departamento,44.0,0.0,1.0,,-34.576553,-58.539944,BERNABE PROPIEDADES
3820,170000.0,departamento,140.0,,,,-34.58237,-58.55737,BERNABE PROPIEDADES
3821,350000.0,casa,,,,30.0,-34.571392,-58.542164,BERNABE PROPIEDADES
3822,175000.0,casa,,,,,-34.57824,-58.548134,BERNABE PROPIEDADES
3823,,casa,,,,,-34.584488,-58.548714,
3824,170000.0,casa,,,,,-34.576725,-58.550903,BERNABE PROPIEDADES
3825,420000.0,casa,171.0,2.0,2.0,50.0,,,BERNABE PROPIEDADES
3826,300000.0,casa,,,,,,,BERNABE PROPIEDADES
3827,110000.0,departamento,62.0,2.0,,,-34.57704,-58.53846,BERNABE PROPIEDADES
3828,260000.0,departamento,,,,,-34.576366,-58.533356,BERNABE PROPIEDADES
3829,150000.0,casa,,,,,-34.5719,-58.533,BERNABE PROPIEDADES
3830,165000.0,casa,,,,,-34.5719,-58.533,BERNABE PROPIEDADES
3831,95000.0,departamento,,1.0,1.0,,-34.57849,-58.531914,BERNABE PROPIEDADES
3832,160000.0,casa,,,,,,,BERNABE PROPIEDADES
3833,170000.0,casa,,3.0,2.0,40.0,-34.548973,-58.546204,Alicia Pinasco inmobiliaria
3834,127000.0,departamento,66.0,2.0,1.0,8.0,-34.5742,-58.544033,Alejandro Ale Desarrollos Inmobiliarios
3835,,departamento,60.0,2.0,1.0,,,,
3836,250000.0,casa,85.0,3.0,2.0,6.0,-34.571518,-58.540173,J. Wolf Propiedades
3837,150000.0,ph,110.0,2.0,1.0,15.0,-34.563354,-58.57563,J. Wolf Propiedades
3838,125000.0,departamento,50.0,0.0,1.0,0.0,-34.5526,-58.560253,J. Wolf Propiedades
3839,125000.0,departamento,50.0,1.0,1.0,0.0,-34.55256,-58.560307,J. Wolf Propiedades
3840,125000.0,departamento,47.0,1.0,1.0,0.0,-34.585526,-58.54682,J. Wolf Propiedades
3841,125000.0,departamento,47.0,1.0,1.0,0.0,-34.55257,-58.560276,J. Wolf Propiedades
